symbol,exchange,timestamp,funding_rate
ZRXUSDT,gateio,2025-06-25T00:00:00Z,0.000018
ZRXUSDT,bitget,2025-06-25T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-24T16:00:00Z,-0.000056
ZRXUSDT,bitget,2025-06-24T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-24T08:00:00Z,0.000003
ZRXUSDT,bitget,2025-06-24T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-24T00:00:00Z,-0.000274
ZRXUSDT,bitget,2025-06-24T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-23T16:00:00Z,-0.00052
ZRXUSDT,bitget,2025-06-23T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-23T08:00:00Z,-0.000089
ZRXUSDT,bitget,2025-06-23T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-23T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-23T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-22T16:00:00Z,-0.000093
ZRXUSDT,bitget,2025-06-22T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-22T08:00:00Z,0.000009
ZRXUSDT,bitget,2025-06-22T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-22T00:00:00Z,-0.00015
ZRXUSDT,bitget,2025-06-22T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-21T16:00:00Z,0.000008
ZRXUSDT,bitget,2025-06-21T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-21T08:00:00Z,0.000081
ZRXUSDT,bitget,2025-06-21T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-21T00:00:00Z,0.000008
ZRXUSDT,bitget,2025-06-21T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-20T16:00:00Z,-0.000006
ZRXUSDT,bitget,2025-06-20T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-20T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-20T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-20T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-20T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-19T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-19T16:00:00Z,0.0001
